;id;Carats;Cert;Clarity;Color;Cut;Depth;Fluroescence;Known_Conflict_Diamond;Measurements;Polish;Regions;Shape;Symmetry;Table;Vendor;Offers;Price;Difference;Retail
0;8051;0,42;AGSL;SI2;L; ;62,7;None;;4.81x4.78x3.01;Excellent;Australia;Round;Excellent;57,0;1;;650,0762711301435;13291,19861502454;13941,274886154682
1;8052;0,4;GemEx;VS2;M; ;63,8;None;;4.64x4.61x2.95;Excellent;Australia;Round;Excellent;59,0;1;;981,6589692818263;13476,53263163125;14458,191600913076
2;8053;0,41;AGSL;SI2;L; ;62,2;None;True;4.76x4.74x2.95;Excellent;DR Congo;Round;Very good;58,0;1;;624,5438233994616;-6794,487580358993;-6169,943756959531
3;8054;0,4;AGSL;SI1;K; ;64,2;Strong Bl..;False;4.63x4.59x2.96;Very good;Angola;Emerald;Very good;58,0;1;;863,5063540584958;3241,1406129901734;4104,6469670486695
4;8055;0,4;AGSL;VS2;L; ;64,3;;False;4.67x4.62x2.99;Excellent;Russia;Round;Very good;;1;;867,6467278009613;13504,229234853807;14371,875962654769
5;8056;0,4;AGSL;SI2;K; ;59,8;None;;4.8*4.76x2.86;Very good;Russia;Emerald;Very good;61,0;1;;718,7657338827163;13409,61275683047;14128,378490713185
6;8057;0,4;AGSL;VS1;L; ;64,0;None;;4.69x4.62x2.98;Very good;Botswana;Emerald;Good;56,0;1;;873,8513573401777;10024,125096038777;10897,976453378955
7;8058;0,42;AGSL;VVS2;M; ;;Medium Bl..;;4.81x4.79x2.89;Very good;Russia;Round;Very good;;1;;819,3256352161483;13473,52033458192;14292,845969798069
8;8059;0,41;AGSL;SI1;K; ;61,3;Strong Bl..;False;4.8x4.77x2.93;Very good;Australia;Round;Excellent;59,0;1;;920,7157499312382;13463,194741758438;14383,910491689676
9;8060;0,4;GemEx;SI1;K; ;62,7;Medium Bl..;False;4.75x4.69x2.96;Good;Australia;Round;Very good;57,0;1;;871,6905935772584;13406,64580370728;14278,33639728454
10;8061;0,4;AGSL;VS2;K; ;63,1;None;;4.68x4.66x2.95;Very good;DR Congo;Emerald;Excellent;;1;;1037,8586246702935;-6531,818788446992;-5493,960163776698
11;8062;0,4;AGSL;VS2;K; ;62,7;None;;4.71x4.68x2.94;Very good;Russia;Round;Very good;59,0;1;;1141,3260396442424;13678,157228702912;14819,483268347154
12;8063;0,4;AGSL;VS1;K; ;64,8;None;;4.63x4.62x3;Very good;Australia;Round;Very good;58,0;1;;1104,085697974831;13579,729553910041;14683,815251884873
13;8064;0,4;GemEx;VVS2;L; ;;None;;4.69x4.65x3;Very good;Russia;Oval;Very good;54,0;1;;937,1958757509353;13523,036343011401;14460,232218762336
14;8065;0,41;AGSL;SI1;K; ;61,2;None;;4.83x4.81x2.95;Excellent;Zimbabwe;Round;Excellent;57,0;1;;870,525862349767;-9571,36058268313;-8700,834720333363
15;8066;0,44;AGSL;VS2;L; ;62,3;Faint;;4.91x4.88x3.05;Very good;Russia;Round;Very good;56,0;1;;1084,0754683312357;13641,773488375155;14725,84895670639
16;8067;0,43;AGSL;SI1;K; ;61,7;None;;4.82x4.81x2.97;Excellent;Russia;Round;Very good;;1;;965,988351949965;13566,727058620236;14532,715410570201
