"id","Carats","Cert","Clarity","Color","Cut","Depth","Fluroescence","Known_Conflict_Diamond","Measurements","Polish","Regions","Shape","Symmetry","Table","Vendor","Price","Retail","LogPrice","LogRetail"
1,0.41,NA,"SI1","L"," ",65.4,"None",FALSE,"4.65x4.62x3.03","Very good","Other/Unknown","Princess","Good",NA,1,"$ 430","$ 850",6.06378520868761,6.74523634948436
2,0.42,"AGSL","SI2","L"," ",61.7,"Strong Bl..",FALSE,"4.85x4.79x2.98","Excellent","Russia","Marquise","Very good",NA,1,"$ 560","$ 920",6.32793678372919,6.82437367004309
3,0.4,"AGSL","SI1","L"," ",64,"None",FALSE,"4.66x4.63x2.97","Excellent","South Africa","Round","Excellent",57,1,"$ 560","$ 575",6.32793678372919,6.35437004079735
4,0.41,"AGSL","SI2","L"," ",62.7,"Strong Bl..",FALSE,"4.71x4.69x2.95","Very good","Botswana","Round","Very good",58,1,"$ 560","$ 825",6.32793678372919,6.71538338633468
5,0.4,"AGSL","SI1","L"," ",63,NA,FALSE,"4.71x4.68x2.96","Excellent","Botswana","Round","Very good",58,1,"$ 580","$ 890",6.36302810354046,6.79122146272619
6,0.4,"AGSL","VS2","M"," ",59.9,"None",FALSE,"4.75x4.74x2.84","Very good","Botswana","Round","Very good",64,1,"$ 580","$ 945",6.36302810354046,6.85118492749374
7,0.4,"AGSL","VVS1","M"," ",63.4,"Faint",FALSE,"4.68x4.65x2.95","Very good","South Africa","Round","Good",58,1,"$ 580","$ 950",6.36302810354046,6.85646198459459
8,0.4,"AGSL","VS2","M"," ",62.4,"None",FALSE,"4.69x4.66x2.91","Excellent","Russia","Round","Very good",59,1,"$ 585","$ 965",6.37161184723186,6.87212810133899
9,0.4,"AGSL","SI1","L"," ",NA,"None",FALSE,"4.77x4.75x2.93","Excellent","Botswana","Round","Very good",58,1,"$ 585","$ 885",6.37161184723186,6.78558764500793
10,0.4,"AGSL","SI1","L"," ",62.9,"None",FALSE,"4.72x4.69x2.96","Excellent","Russia","Round","Very good",55,1,"$ 585","$ 965",6.37161184723186,6.87212810133899
11,0.4,"AGSL","VS2","L"," ",62.9,"Faint",FALSE,"4.74x4.71x2.97","Excellent","Canada","Round","Excellent",NA,1,"$ 590","$ 975",6.38012253689976,6.88243747099785
12,0.41,"AGSL","VS2","L"," ",62.1,"None",FALSE,"4.8x4.77x2.97","Excellent","DR Congo","Round","Very good",57,1,"$ 595","$ 970",6.38856140554563,6.87729607149743
13,0.41,"AGSL","SI2","K"," ",NA,"None",FALSE,"4.76x4.73x2.94","Excellent","Botswana","Oval","Excellent",NA,1,"$ 595","$ 970",6.38856140554563,6.87729607149743
14,0.4,"AGSL","SI1","K"," ",64.3,"None",FALSE,"4.67*4.63x2.99","Very good","Botswana","Round","Very good",55,1,"$ 600","$ 840",6.39692965521615,6.73340189183736
15,0.4,"AGSL","VS1","M"," ",59.4,NA,FALSE,"4.81x4.78x2.85","Very good","Zimbabwe","Radiant","Very good",56,1,"$ 600","$ 630",6.39692965521615,6.44571981938558
16,0.42,"AGSL","SI1","L"," ",NA,"Faint",FALSE,"4.83x4.82x2.98","Excellent","South Africa","Round","Very good",58,1,"$ 600","$ 805",6.39692965521615,6.69084227741856
17,0.41,"AGSL","SI1","L"," ",62.7,"None",FALSE,"4.76x4.75x2.98","Very good","Canada","Round","Excellent",57,1,"$ 600","$ 990",6.39692965521615,6.89770494312864
18,0.4,"AGSL","SI1","K"," ",62.8,"Medium Bl..",FALSE,"4.72x4.68x2.95","Very good","Russia","Round","Very good",58,1,"$ 600","$ 990",6.39692965521615,6.89770494312864
19,0.42,"GemEx","SI2","L"," ",62.1,NA,FALSE,"4.82x4.8x2.99","Excellent","Botswana","Round","Excellent",57,2,"$ 605","$ 955",6.40522845803084,6.86171134048073
20,0.4,"GemEx","SI1","K"," ",NA,"Medium Bl..",FALSE,"4.71x4.68x2.95","Very good","Angola","Princess","Excellent",58,1,"$ 605","$ 1,000",6.40522845803084,6.90775527898214
21,0.42,"AGSL","VS2","K"," ",NA,NA,FALSE,"4.81x4.79x2.99","Excellent","Botswana","Round","Excellent",NA,1,"$ 610","$ 625",6.41345895716736,6.4377516497364
22,0.41,"AGSL","SI2","K"," ",62,"Faint",FALSE,"4.76x4.74x2.94","Excellent","Australia","Round","Excellent",NA,1,"$ 610","$ 1,005",6.41345895716736,6.91274282049318
23,0.4,"AGSL","VS2","K"," ",58.2,"Medium Ye..",FALSE,"4.87x4.84x2.83","Excellent","Botswana","Round","Excellent",64,1,"$ 610","$ 1,005",6.41345895716736,6.91274282049318
24,0.4,"AGSL","SI2","K"," ",60.8,"Faint",FALSE,"4.78x4.75x2.9","Excellent","Angola","Round","Very good",58,1,"$ 610","$ 1,005",6.41345895716736,6.91274282049318
25,0.42,"AGSL","VS2","M"," ",61.4,"Faint",FALSE,"4.84x4.82x2.97","Excellent","Botswana","Radiant","Very good",NA,1,"$ 615","$ 925",6.42162226780652,6.82979373751242
26,0.41,"AGSL","SI2","K"," ",62.3,NA,FALSE,"4.75x4.73x2.95","Excellent","Russia","Emerald","Very good",57,1,"$ 615","$ 420",6.42162226780652,6.04025471127741
27,0.42,"AGSL","SI1","L"," ",60.9,"Strong Bl..",FALSE,"4.85x4.83x2.95","Very good","Russia","Pear","Very good",59,1,"$ 615","$ 1,015",6.42162226780652,6.92264389147589
28,0.4,"AGSL","SI1","K"," ",62.2,NA,FALSE,"4.73x4.67x2.92","Excellent","DR Congo","Emerald","Very good",61,1,"$ 615","$ 855",6.42162226780652,6.75110146893676
29,0.42,"AGSL","SI2","K"," ",62.7,"None",FALSE,"4.81x4.78x3.01","Very good","Canada","Radiant","Very good",57,1,"$ 615","$ 1,015",6.42162226780652,6.92264389147589
